animalId,intakeDate,intakeReason,species,sex,breed,color,outcomeDate,outcome,shelterName,shelterID,city,state,indate,outdate,lengthOfStay
AA849974,05/13/2024 05:52:00 PM,Stray,Dog,Neutered Male,Labrador Retriever/Pit Bull,Black/White,2024-07-29T13:18:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-07-29,77 days
AA904754,05/13/2024 06:11:00 PM,Stray,Dog,Intact Male,Australian Cattle Dog Mix,Tricolor,2024-09-02T13:37:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-13,2024-09-02,112 days
AA904743,05/14/2024 07:59:00 AM,Owner Surrender,Dog,Intact Female,Labrador Retriever,Black,2024-05-24T16:32:00,Rto-Adopt,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-14,2024-05-24,10 days
AA904780,05/14/2024 09:37:00 AM,Stray,Dog,Intact Male,Labrador Retriever Mix,Black/White,2024-05-31T17:06:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2024-05-14,2024-05-31,17 days
AA871893,01/01/2023 07:45:00 AM,Public Assist,Dog,Spayed Female,Labrador Retriever Mix,Black,2023-01-01T16:17:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-01,2023-01-01,0 days
AA857754,01/01/2023 07:45:00 AM,Public Assist,Dog,Neutered Male,Pit Bull Mix,Tan,2023-01-01T16:17:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-01,2023-01-01,0 days
AA871929,01/02/2023 10:39:00 AM,Stray,Dog,Intact Female,American Bulldog Mix,Brown/White,2023-01-13T16:59:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-13,11 days
AA628105,01/02/2023 11:10:00 AM,Owner Surrender,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,2023-03-05T16:30:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-03-05,62 days
AA628106,01/02/2023 11:10:00 AM,Owner Surrender,Cat,Neutered Male,Domestic Longhair Mix,Orange Tabby/White,2023-03-05T16:31:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-03-05,62 days
AA871934,01/02/2023 12:14:00 PM,Stray,Dog,Intact Female,Labrador Retriever/Australian Cattle Dog,Tan/White,2023-05-22T17:32:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-05-22,140 days
AA871932,01/02/2023 12:15:00 PM,Stray,Dog,Intact Female,Labrador Retriever/Australian Cattle Dog,Black/White,2023-01-20T17:40:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-20,18 days
AA871931,01/02/2023 12:37:00 PM,Stray,Dog,Intact Female,Cairn Terrier/Maltese,Cream,2023-01-09T13:10:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-09,7 days
AA871946,01/02/2023 02:52:00 PM,Stray,Dog,Intact Male,Miniature Poodle,Cream,2023-01-07T16:03:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-07,5 days
AA871947,01/02/2023 03:11:00 PM,Owner Surrender,Dog,Spayed Female,Labrador Retriever Mix,Tan/White,2023-01-05T19:20:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-05,3 days
AA871949,01/02/2023 03:35:00 PM,Stray,Dog,Intact Male,Labrador Retriever Mix,Black Brindle,2023-07-02T16:14:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-07-02,181 days
AA761150,01/02/2023 03:40:00 PM,Stray,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,2023-01-13T15:59:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-13,11 days
AA871953,01/02/2023 06:10:00 PM,Public Assist,Dog,Neutered Male,Chihuahua Longhair,Tan,2023-01-08T13:14:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-02,2023-01-08,6 days
AA871983,01/03/2023 10:57:00 AM,Stray,Cat,Intact Male,Siamese Mix,Flame Point,2023-01-11T18:45:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-11,8 days
AA871985,01/03/2023 11:17:00 AM,Owner Surrender,Dog,Intact Female,Dachshund Mix,Black/Tricolor,2023-01-05T17:19:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-05,2 days
AA871989,01/03/2023 11:20:00 AM,Stray,Cat,Intact Male,Domestic Shorthair,Blue Tabby/White,2023-01-09T18:35:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA870433,01/03/2023 11:30:00 AM,Stray,Dog,Intact Male,Anatol Shepherd Mix,Brown/White,2023-01-11T16:12:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-11,8 days
AA871992,01/03/2023 11:36:00 AM,Stray,Dog,Intact Female,Border Terrier Mix,Brown Brindle/White,2023-01-10T15:57:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA871997,01/03/2023 12:02:00 PM,Owner Surrender,Dog,Intact Male,American Pit Bull Terrier,Blue/White,2023-10-08T18:26:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-10-08,278 days
AA871990,01/03/2023 12:13:00 PM,Stray,Cat,Neutered Male,Domestic Longhair,Blue/White,2023-01-07T19:42:00,Euthanasia,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-07,4 days
AA867119,01/03/2023 12:14:00 PM,Owner Surrender,Dog,Spayed Female,Pit Bull,White/Brown Brindle,2023-02-12T11:43:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-02-12,40 days
AA871996,01/03/2023 12:21:00 PM,Stray,Cat,Intact Male,Domestic Shorthair,Flame Point,2023-01-31T12:46:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-31,28 days
AA870290,01/03/2023 12:21:00 PM,Stray,Dog,Intact Female,Australian Cattle Dog Mix,Black/White,2023-02-03T17:43:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-02-03,31 days
AA872002,01/03/2023 12:48:00 PM,Stray,Dog,Intact Female,Australian Kelpie,Black,2023-07-06T17:19:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-07-06,184 days
AA871999,01/03/2023 12:54:00 PM,Stray,Dog,Intact Male,Alaskan Malamute/German Shepherd,Black/Tan,2023-01-04T13:20:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-04,1 days
AA870854,01/03/2023 12:56:00 PM,Owner Surrender,Dog,Spayed Female,Black Mouth Cur Mix,Brown/White,2023-01-04T12:24:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-04,1 days
AA871427,01/03/2023 01:09:00 PM,Owner Surrender,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,2023-01-10T13:55:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA847249,01/03/2023 01:33:00 PM,Stray,Dog,Intact Female,Australian Cattle Dog Mix,Brown Brindle/White,2023-01-23T18:33:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-23,20 days
AA872006,01/03/2023 01:35:00 PM,Stray,Dog,Intact Male,Rottweiler,Black/Brown,2023-01-06T17:56:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-06,3 days
AA872009,01/03/2023 01:36:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Orange Tabby,2023-01-09T16:34:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA872007,01/03/2023 01:38:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Tortie,2023-01-09T18:18:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA872010,01/03/2023 01:41:00 PM,Stray,Dog,Neutered Male,German Shepherd,Black/White,2023-01-10T14:21:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872014,01/03/2023 01:53:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Torbie,2023-01-10T16:14:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872011,01/03/2023 01:54:00 PM,Stray,Dog,Intact Male,Shih Tzu/Miniature Poodle,Black/White,2023-01-09T14:57:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA872013,01/03/2023 02:01:00 PM,Stray,Dog,Intact Male,German Shepherd Mix,Tan,2023-01-29T14:06:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-29,26 days
AA872015,01/03/2023 02:11:00 PM,Stray,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,2023-01-11T14:57:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-11,8 days
AA872027,01/03/2023 02:28:00 PM,Owner Surrender,Cat,Intact Female,Domestic Shorthair,Tortie,2023-01-06T16:05:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-06,3 days
AA872028,01/03/2023 02:28:00 PM,Owner Surrender,Cat,Intact Male,Domestic Shorthair,Black,2023-01-05T18:58:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-05,2 days
AA872029,01/03/2023 02:28:00 PM,Owner Surrender,Cat,Intact Male,Domestic Shorthair,Black,2023-01-09T16:30:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA872026,01/03/2023 02:33:00 PM,Stray,Dog,Intact Male,Shih Tzu,White/Tan,2023-01-05T13:28:41,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-05,2 days
AA872031,01/03/2023 02:48:00 PM,Stray,Dog,Intact Male,Bull Terrier,Brown/White,2023-01-24T14:24:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-24,21 days
AA872033,01/03/2023 03:00:00 PM,Stray,Cat,Intact Male,Domestic Longhair,Orange/White,2023-01-11T18:40:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-11,8 days
AA872035,01/03/2023 03:23:00 PM,Stray,Dog,Intact Male,Australian Cattle Dog Mix,Black/White,2023-01-12T18:07:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-12,9 days
AA872037,01/03/2023 03:29:00 PM,Stray,Dog,Neutered Male,German Shepherd Mix,Sable,2023-02-08T15:35:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-02-08,36 days
AA872053,01/03/2023 04:25:00 PM,Stray,Dog,Intact Male,Cairn Terrier,White,2023-01-05T18:23:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-05,2 days
AA872054,01/03/2023 04:25:00 PM,Stray,Dog,Intact Female,Cairn Terrier,White,2023-01-05T18:23:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-05,2 days
AA870692,01/03/2023 04:55:00 PM,Owner Surrender,Dog,Neutered Male,Chihuahua Shorthair,Chocolate/White,2023-01-04T13:51:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-04,1 days
AA870755,01/03/2023 05:01:00 PM,Owner Surrender,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,2023-01-04T12:40:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-04,1 days
AA872055,01/03/2023 05:09:00 PM,Owner Surrender,Cat,Intact Female,Domestic Shorthair,Black,2023-01-06T16:33:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-06,3 days
AA872056,01/03/2023 05:09:00 PM,Owner Surrender,Cat,Intact Female,Domestic Shorthair,Black/White,2023-01-06T16:33:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-06,3 days
AA872061,01/03/2023 05:35:00 PM,Stray,Cat,Intact Male,Domestic Shorthair,Silver Tabby/White,2023-01-10T18:53:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872062,01/03/2023 05:35:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,White/Silver Tabby,2023-01-10T18:53:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872063,01/03/2023 05:35:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Black,2023-01-12T10:19:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-12,9 days
AA872064,01/03/2023 05:35:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,White/Silver,2023-01-10T18:25:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872065,01/03/2023 05:35:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Blue Tabby/White,2023-01-11T19:00:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-11,8 days
AA872066,01/03/2023 06:15:00 PM,Public Assist,Dog,Intact Female,Pit Bull Mix,Blue/White,2023-01-19T13:07:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-19,16 days
AA872067,01/03/2023 06:21:00 PM,Stray,Dog,Intact Female,Labrador Retriever Mix,Red/White,2023-01-21T13:04:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-21,18 days
AA872069,01/03/2023 06:23:00 PM,Owner Surrender,Cat,Intact Male,Domestic Shorthair,Orange Tabby/White,2023-01-04T13:45:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-04,1 days
AA872070,01/03/2023 06:58:00 PM,Abandoned,Dog,Intact Female,Chihuahua Shorthair Mix,Red/White,2023-01-09T16:10:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-09,6 days
AA872071,01/03/2023 06:58:00 PM,Abandoned,Dog,Intact Male,Chihuahua Shorthair Mix,Red/White,2023-01-10T16:03:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-10,7 days
AA872072,01/03/2023 07:16:00 PM,Stray,Cat,Neutered Male,Domestic Shorthair,Black/White,2023-01-14T15:58:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-14,11 days
AA872073,01/03/2023 07:16:00 PM,Stray,Cat,Neutered Male,Domestic Shorthair,Orange Tabby,2023-01-08T18:05:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-08,5 days
AA872074,01/03/2023 07:16:00 PM,Stray,Cat,Spayed Female,Domestic Shorthair,Calico,2023-01-07T12:44:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-07,4 days
AA872075,01/03/2023 07:16:00 PM,Stray,Cat,Neutered Male,Domestic Shorthair,Flame Point,2023-01-07T15:00:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-07,4 days
AA872076,01/03/2023 07:39:00 PM,Abandoned,Other,Unknown,Lizard,Tan,2023-01-16T10:31:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-16,13 days
AA872077,01/03/2023 07:39:00 PM,Abandoned,Other,Unknown,Lizard,Tan,2023-01-16T10:32:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-01-16,13 days
AA872078,01/03/2023 07:39:00 PM,Abandoned,Other,Unknown,Lizard,Tan,2023-04-19T14:43:00,Missing,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-03,2023-04-19,106 days
AA872087,01/04/2023 10:07:00 AM,Public Assist,Dog,Intact Male,Pit Bull,Blue/White,2023-01-06T11:38:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-06,2 days
AA872090,01/04/2023 10:07:00 AM,Public Assist,Other,Intact Female,Snake/Python,Brown/Black,2023-01-06T11:32:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-06,2 days
AA872091,01/04/2023 10:56:00 AM,Wildlife,Other,Unknown,Raccoon,Black/White,2023-01-05T08:44:00,Euthanasia,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-05,1 days
AA872099,01/04/2023 11:04:00 AM,Stray,Dog,Intact Female,Pit Bull,Blue/White,2023-01-26T10:37:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-26,22 days
AA872097,01/04/2023 11:04:00 AM,Stray,Dog,Intact Female,Pit Bull,Brown Brindle/White,2023-01-21T17:56:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-21,17 days
AA847819,01/04/2023 11:06:00 AM,Owner Surrender,Cat,Spayed Female,Domestic Shorthair,Blue,2023-02-10T10:56:00,Died,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-02-10,37 days
AA872092,01/04/2023 11:15:00 AM,Public Assist,Dog,Intact Female,Border Collie Mix,Black/White,2023-01-20T16:01:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-20,16 days
AA872095,01/04/2023 11:20:00 AM,Stray,Cat,Spayed Female,Domestic Shorthair,Calico,2023-01-20T16:13:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-20,16 days
AA872094,01/04/2023 11:29:00 AM,Owner Surrender,Other,Intact Male,Guinea Pig,Orange/White,2023-01-26T10:56:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-26,22 days
AA872098,01/04/2023 11:37:00 AM,Stray,Cat,Intact Male,Domestic Shorthair,Orange Tabby,2023-01-12T18:29:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-12,8 days
AA872102,01/04/2023 12:00:00 PM,Owner Surrender,Cat,Spayed Female,Domestic Shorthair,Brown Tabby/White,2023-01-06T15:13:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-06,2 days
AA872103,01/04/2023 12:00:00 PM,Owner Surrender,Cat,Spayed Female,Domestic Shorthair,Black,2023-01-06T15:12:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-06,2 days
AA850437,01/04/2023 12:15:00 PM,Stray,Dog,Intact Male,Pit Bull Mix,Brown Brindle,2023-02-07T08:17:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-02-07,34 days
AA737292,01/04/2023 12:17:00 PM,Stray,Dog,Spayed Female,Labrador Retriever Mix,Black,2023-01-08T14:08:00,Return to Owner,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-08,4 days
AA868639,01/04/2023 12:49:00 PM,Owner Surrender,Cat,Spayed Female,Domestic Shorthair,Torbie,2023-01-08T13:11:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-08,4 days
AA872108,01/04/2023 01:09:00 PM,Stray,Dog,Intact Male,German Shepherd Mix,Brown/Black,2023-03-17T16:42:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-03-17,72 days
AA872114,01/04/2023 01:36:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Brown Tabby/White,2023-02-06T10:34:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-02-06,33 days
AA872116,01/04/2023 01:36:00 PM,Stray,Cat,Unknown,Domestic Shorthair,Black/White,2023-02-06T10:34:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-02-06,33 days
AA872120,01/04/2023 02:16:00 PM,Stray,Dog,Intact Male,Rhod Ridgeback/German Shepherd,Red,2023-01-22T15:30:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-22,18 days
AA871386,01/04/2023 02:34:00 PM,Owner Surrender,Dog,Neutered Male,Labrador Retriever Mix,Brown,2023-01-04T19:02:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-04,0 days
AA872121,01/04/2023 02:55:00 PM,Stray,Cat,Intact Female,Domestic Shorthair,Cream Tabby,2023-01-11T16:21:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-11,7 days
AA869469,01/04/2023 03:02:00 PM,Owner Surrender,Dog,Neutered Male,German Shepherd,Brown/Black,2023-01-06T14:22:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-06,2 days
AA872126,01/04/2023 03:15:00 PM,Stray,Dog,Intact Male,Chihuahua Shorthair/Dachshund,Brown/White,2023-01-13T16:29:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-13,9 days
AA872128,01/04/2023 03:54:00 PM,Owner Surrender,Dog,Intact Female,Chihuahua Shorthair,Tan/White,2023-01-19T15:02:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-19,15 days
AA872129,01/04/2023 03:54:00 PM,Owner Surrender,Dog,Intact Female,Chihuahua Shorthair,Tan/White,2023-02-13T12:51:00,Transfer,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-02-13,40 days
AA872130,01/04/2023 03:54:00 PM,Owner Surrender,Dog,Spayed Female,Chihuahua Longhair,Brown/White,2023-01-09T19:10:00,Adoption,Austin Animal Center,TXAUAC01,Austin,TX,2023-01-04,2023-01-09,5 days
